,address,coffeeshop_name,geometry,yelp_id
30,"30 W 8th St New York, NY 10011",Stumptown,POINT (-73.9980379 40.732704),stumptown-new-york
31,"275 Greenwich St New York, NY 10007",Kaffe 1668 South,POINT (-74.01092 40.71517),kaffe-1668-south-new-york
32,"82 Central Ave Brooklyn, NY 11206",Express Yourself Barista Bar,POINT (-73.9301428209931 40.7007834810065),express-yourself-barista-bar-brooklyn
33,"234 W 35th St New York, NY 10001",Madman Espresso,POINT (-73.991293900852 40.7520356305538),madman-espresso-new-york-4
34,"319 E 14th St New York, NY 10003",Madman Espresso,POINT (-73.9838278699811 40.7320887578344),madman-espresso-new-york-2
35,"155 E Broadway New York, NY 10002",12 Corners,POINT (-73.99038059999999 40.7139624),12-corners-new-york
36,"224 W 79th St New York, NY 10024",Irving Farm Coffee Roasters,POINT (-73.979523 40.783337),irving-farm-coffee-roasters-new-york-2
37,"33 Carmine St New York, NY 10014",Prodigy Coffee,POINT (-74.0032330155373 40.7301317900419),prodigy-coffee-new-york-2
38,"300 Bedford Ave Brooklyn, NY 11211",Black Brick,POINT (-73.9617848396301 40.7142079238412),black-brick-brooklyn
39,"519 Metropolitan Ave Brooklyn, NY 11211",Sugarburg,POINT (-73.95160619169469 40.7141182158499),sugarburg-brooklyn
40,"636 Grand St Brooklyn, NY 11211",Porto Rico Importing,POINT (-73.9467086791992 40.7111625671387),porto-rico-importing-brooklyn
41,"133-B Roebling St Brooklyn, NY 11211",Oslo Coffee Roasters,POINT (-73.956599 40.714642),oslo-coffee-roasters-brooklyn
42,"860 Manhattan Ave Brooklyn, NY 11222",Upright Coffee,POINT (-73.9537541 40.7292285),upright-coffee-brooklyn
43,"247 Elizabeth St New York, NY 10012",T Shop,POINT (-73.99377628345459 40.7237710224052),t-shop-new-york
44,"319 Church St New York, NY 10013",La Colombe Coffee,POINT (-74.003781 40.719941),la-colombe-coffee-new-york
